canonical_name,portable_name,code,value,label,description
grant__acg_recipients__status,grant__acg_recipients__status,2,observed_zero,observed_zero,An explicitly reported numeric zero; not an imputed zero.
grant__acg_recipients__status,grant__acg_recipients__status,4,source_symbol,source_symbol,"The source cell contains a dash, dot, NA, or other recognized nonnumeric symbol; not zero."
grant__acg_recipients__status,grant__acg_recipients__status,7,unavailable_in_schema,unavailable_in_schema,The selected source report does not supply this variable in this year.
grant__acg_disbursements__status,grant__acg_disbursements__status,8,absent_source_record,absent_source_record,No usable source-family record for this panel row; not evidence of zero aid.
grant__acg_disbursements__status,grant__acg_disbursements__status,21,ambiguous_family_multiple_records,ambiguous_family_multiple_records,"Multiple source-family records could supply this UNITID-year; values are blocked, not summed."
grant__acg_disbursements__status,grant__acg_disbursements__status,1,observed,observed,An explicitly reported numeric nonzero value.
grant__acg_disbursements__status,grant__acg_disbursements__status,2,observed_zero,observed_zero,An explicitly reported numeric zero; not an imputed zero.
grant__acg_disbursements__status,grant__acg_disbursements__status,4,source_symbol,source_symbol,"The source cell contains a dash, dot, NA, or other recognized nonnumeric symbol; not zero."
grant__acg_disbursements__status,grant__acg_disbursements__status,7,unavailable_in_schema,unavailable_in_schema,The selected source report does not supply this variable in this year.
grant__smart_recipients__status,grant__smart_recipients__status,8,absent_source_record,absent_source_record,No usable source-family record for this panel row; not evidence of zero aid.
grant__smart_recipients__status,grant__smart_recipients__status,21,ambiguous_family_multiple_records,ambiguous_family_multiple_records,"Multiple source-family records could supply this UNITID-year; values are blocked, not summed."
grant__smart_recipients__status,grant__smart_recipients__status,1,observed,observed,An explicitly reported numeric nonzero value.
grant__smart_recipients__status,grant__smart_recipients__status,2,observed_zero,observed_zero,An explicitly reported numeric zero; not an imputed zero.
grant__smart_recipients__status,grant__smart_recipients__status,4,source_symbol,source_symbol,"The source cell contains a dash, dot, NA, or other recognized nonnumeric symbol; not zero."
grant__smart_recipients__status,grant__smart_recipients__status,7,unavailable_in_schema,unavailable_in_schema,The selected source report does not supply this variable in this year.
grant__smart_disbursements__status,grant_smart_disb_stat_bd061f0d96,8,absent_source_record,absent_source_record,No usable source-family record for this panel row; not evidence of zero aid.
grant__smart_disbursements__status,grant_smart_disb_stat_bd061f0d96,21,ambiguous_family_multiple_records,ambiguous_family_multiple_records,"Multiple source-family records could supply this UNITID-year; values are blocked, not summed."
grant__smart_disbursements__status,grant_smart_disb_stat_bd061f0d96,1,observed,observed,An explicitly reported numeric nonzero value.
grant__smart_disbursements__status,grant_smart_disb_stat_bd061f0d96,2,observed_zero,observed_zero,An explicitly reported numeric zero; not an imputed zero.
grant__smart_disbursements__status,grant_smart_disb_stat_bd061f0d96,4,source_symbol,source_symbol,"The source cell contains a dash, dot, NA, or other recognized nonnumeric symbol; not zero."
grant__smart_disbursements__status,grant_smart_disb_stat_bd061f0d96,7,unavailable_in_schema,unavailable_in_schema,The selected source report does not supply this variable in this year.
grant__teach_recipients__status,grant__teach_recipients__status,8,absent_source_record,absent_source_record,No usable source-family record for this panel row; not evidence of zero aid.
grant__teach_recipients__status,grant__teach_recipients__status,21,ambiguous_family_multiple_records,ambiguous_family_multiple_records,"Multiple source-family records could supply this UNITID-year; values are blocked, not summed."
grant__teach_recipients__status,grant__teach_recipients__status,1,observed,observed,An explicitly reported numeric nonzero value.
grant__teach_recipients__status,grant__teach_recipients__status,2,observed_zero,observed_zero,An explicitly reported numeric zero; not an imputed zero.
grant__teach_recipients__status,grant__teach_recipients__status,4,source_symbol,source_symbol,"The source cell contains a dash, dot, NA, or other recognized nonnumeric symbol; not zero."
grant__teach_recipients__status,grant__teach_recipients__status,7,unavailable_in_schema,unavailable_in_schema,The selected source report does not supply this variable in this year.
grant__teach_disbursements__status,grant_teach_disb_stat_47b91085e5,8,absent_source_record,absent_source_record,No usable source-family record for this panel row; not evidence of zero aid.
grant__teach_disbursements__status,grant_teach_disb_stat_47b91085e5,21,ambiguous_family_multiple_records,ambiguous_family_multiple_records,"Multiple source-family records could supply this UNITID-year; values are blocked, not summed."
grant__teach_disbursements__status,grant_teach_disb_stat_47b91085e5,1,observed,observed,An explicitly reported numeric nonzero value.
grant__teach_disbursements__status,grant_teach_disb_stat_47b91085e5,2,observed_zero,observed_zero,An explicitly reported numeric zero; not an imputed zero.
grant__teach_disbursements__status,grant_teach_disb_stat_47b91085e5,4,source_symbol,source_symbol,"The source cell contains a dash, dot, NA, or other recognized nonnumeric symbol; not zero."
grant__teach_disbursements__status,grant_teach_disb_stat_47b91085e5,7,unavailable_in_schema,unavailable_in_schema,The selected source report does not supply this variable in this year.
grant__iasg_recipients__status,grant__iasg_recipients__status,8,absent_source_record,absent_source_record,No usable source-family record for this panel row; not evidence of zero aid.
grant__iasg_recipients__status,grant__iasg_recipients__status,21,ambiguous_family_multiple_records,ambiguous_family_multiple_records,"Multiple source-family records could supply this UNITID-year; values are blocked, not summed."
grant__iasg_recipients__status,grant__iasg_recipients__status,1,observed,observed,An explicitly reported numeric nonzero value.
grant__iasg_recipients__status,grant__iasg_recipients__status,2,observed_zero,observed_zero,An explicitly reported numeric zero; not an imputed zero.
grant__iasg_recipients__status,grant__iasg_recipients__status,4,source_symbol,source_symbol,"The source cell contains a dash, dot, NA, or other recognized nonnumeric symbol; not zero."
grant__iasg_recipients__status,grant__iasg_recipients__status,7,unavailable_in_schema,unavailable_in_schema,The selected source report does not supply this variable in this year.
grant__iasg_disbursements__status,grant_iasg_disb_statu_c99a9ad4ab,8,absent_source_record,absent_source_record,No usable source-family record for this panel row; not evidence of zero aid.
grant__iasg_disbursements__status,grant_iasg_disb_statu_c99a9ad4ab,21,ambiguous_family_multiple_records,ambiguous_family_multiple_records,"Multiple source-family records could supply this UNITID-year; values are blocked, not summed."
grant__iasg_disbursements__status,grant_iasg_disb_statu_c99a9ad4ab,1,observed,observed,An explicitly reported numeric nonzero value.
grant__iasg_disbursements__status,grant_iasg_disb_statu_c99a9ad4ab,2,observed_zero,observed_zero,An explicitly reported numeric zero; not an imputed zero.
grant__iasg_disbursements__status,grant_iasg_disb_statu_c99a9ad4ab,4,source_symbol,source_symbol,"The source cell contains a dash, dot, NA, or other recognized nonnumeric symbol; not zero."
grant__iasg_disbursements__status,grant_iasg_disb_statu_c99a9ad4ab,7,unavailable_in_schema,unavailable_in_schema,The selected source report does not supply this variable in this year.
grant__source_report_present,grant__source_report_present,0,false,False,The condition described by this variable is false; missing is distinct.
grant__source_report_present,grant__source_report_present,1,true,True,The condition described by this variable is true; missing is distinct.
grant__fsa_school__review_required,grant_fsa_school_revi_9d880c02b4,0,false,False,The condition described by this variable is false; missing is distinct.
grant__fsa_school__review_required,grant_fsa_school_revi_9d880c02b4,1,true,True,The condition described by this variable is true; missing is distinct.
grant__fsa_state__review_required,grant_fsa_state_revie_caad7fb8af,0,false,False,The condition described by this variable is false; missing is distinct.
grant__fsa_state__review_required,grant_fsa_state_revie_caad7fb8af,1,true,True,The condition described by this variable is true; missing is distinct.
grant__fsa_zip_code__review_required,grant_fsa_zip_code_re_385fba09af,0,false,False,The condition described by this variable is false; missing is distinct.
grant__fsa_zip_code__review_required,grant_fsa_zip_code_re_385fba09af,1,true,True,The condition described by this variable is true; missing is distinct.
grant__fsa_school_type__review_required,grant_fsa_school_type_1f0bb0981e,0,false,False,The condition described by this variable is false; missing is distinct.
grant__fsa_school_type__review_required,grant_fsa_school_type_1f0bb0981e,1,true,True,The condition described by this variable is true; missing is distinct.
grant__fsa_descriptor_review_required,grant_fsa_descriptor__20cb95e914,0,false,False,The condition described by this variable is false; missing is distinct.
grant__fsa_descriptor_review_required,grant_fsa_descriptor__20cb95e914,1,true,True,The condition described by this variable is true; missing is distinct.
grant__ipeds_match_status,grant__ipeds_match_status,25,exact_unique,exact_unique,"One full-OPEID match in the selected annual directory, passing the original activity/office screen."
grant__ipeds_match_status,grant__ipeds_match_status,26,exact_unique_inactive,exact_unique_inactive,One full-OPEID directory match is classified inactive by the original directory screen.
grant__ipeds_match_status,grant__ipeds_match_status,28,multiple_exact_unitids,multiple_exact_unitids,The full OPEID matches multiple UNITIDs in the selected annual directory.
grant__ipeds_match_status,grant__ipeds_match_status,29,no_exact_match,no_exact_match,No full-OPEID match exists in the selected annual directory.
grant__ipeds_strict_eligible,grant__ipeds_strict_eligible,0,false,False,The condition described by this variable is false; missing is distinct.
grant__ipeds_strict_eligible,grant__ipeds_strict_eligible,1,true,True,The condition described by this variable is true; missing is distinct.
grant__ipeds_directory_match_status,grant_ipeds_directory_15ecfec453,25,exact_unique,exact_unique,"One full-OPEID match in the selected annual directory, passing the original activity/office screen."
grant__ipeds_directory_match_status,grant_ipeds_directory_15ecfec453,26,exact_unique_inactive,exact_unique_inactive,One full-OPEID directory match is classified inactive by the original directory screen.
grant__ipeds_directory_match_status,grant_ipeds_directory_15ecfec453,28,multiple_exact_unitids,multiple_exact_unitids,The full OPEID matches multiple UNITIDs in the selected annual directory.
grant__ipeds_directory_match_status,grant_ipeds_directory_15ecfec453,29,no_exact_match,no_exact_match,No full-OPEID match exists in the selected annual directory.
grant__ipeds_crosswalk_available,grant__ipeds_crosswalk_available,0,false,False,The condition described by this variable is false; missing is distinct.
grant__ipeds_crosswalk_available,grant__ipeds_crosswalk_available,1,true,True,The condition described by this variable is true; missing is distinct.
grant__ipeds_identity_geography_conflict,grant_ipeds_identity__9a4c6dd793,0,false,False,The condition described by this variable is false; missing is distinct.
grant__ipeds_identity_geography_conflict,grant_ipeds_identity__9a4c6dd793,1,true,True,The condition described by this variable is true; missing is distinct.
grant__ipeds_fsa_hd_state_conflict,grant_ipeds_fsa_hd_st_079356c4b3,0,false,False,The condition described by this variable is false; missing is distinct.
grant__ipeds_fsa_hd_state_conflict,grant_ipeds_fsa_hd_st_079356c4b3,1,true,True,The condition described by this variable is true; missing is distinct.
grant__ipeds_fsa_hd_name_review_required,grant_ipeds_fsa_hd_na_ff77785b54,0,false,False,The condition described by this variable is false; missing is distinct.
grant__ipeds_fsa_hd_name_review_required,grant_ipeds_fsa_hd_na_ff77785b54,1,true,True,The condition described by this variable is true; missing is distinct.
grant__ipeds_resolution_status,grant__ipeds_resolution_status,31,official_site_alias_annual_unitid_verified,official_site_alias_annual_unitid_verified,Official site crosswalk resolves a singleton UNITID present in the annual directory under another OPEID.
grant__ipeds_resolution_status,grant__ipeds_resolution_status,32,official_site_and_directory_agree,official_site_and_directory_agree,Official site relation and full-OPEID annual directory evidence agree on the resolved UNITID.
grant__ipeds_resolution_status,grant__ipeds_resolution_status,33,unique_annual_directory_only,unique_annual_directory_only,A unique annual full-OPEID directory identity is available without a usable official site match.
grant__ipeds_resolution_status,grant__ipeds_resolution_status,34,verified_component_identity_opeid_unresolved,verified_component_identity_opeid_unresolved,Independent evidence verifies this family's UNITID; a full source OPEID remains unresolved.
grant__ipeds_annual_identity_eligible,grant_ipeds_annual_id_07d89d6242,0,false,False,The condition described by this variable is false; missing is distinct.
grant__ipeds_annual_identity_eligible,grant_ipeds_annual_id_07d89d6242,1,true,True,The condition described by this variable is true; missing is distinct.
grant__ipeds_identity_is_administrative,grant_ipeds_identity__4ce5af069f,0,false,False,The condition described by this variable is false; missing is distinct.
grant__ipeds_identity_is_administrative,grant_ipeds_identity__4ce5af069f,1,true,True,The condition described by this variable is true; missing is distinct.
grant__ipeds_title_iv_status,grant__ipeds_title_iv_status,46,branch_of_participating_institution,branch_of_participating_institution,Year-aware OPEFLAG interpretation: branch of a Title IV participating institution.
grant__ipeds_title_iv_status,grant__ipeds_title_iv_status,47,deferment_only,deferment_only,Year-aware OPEFLAG interpretation: deferment-only limited participation.
grant__ipeds_title_iv_status,grant__ipeds_title_iv_status,48,new_participant,new_participant,Year-aware OPEFLAG interpretation: new participant under the reviewed year's definition.
grant__ipeds_title_iv_status,grant__ipeds_title_iv_status,49,new_spring_participant,new_spring_participant,Year-aware OPEFLAG interpretation: new spring participant (reviewed years from 2004).
grant__ipeds_title_iv_status,grant__ipeds_title_iv_status,50,not_participating_with_opeid,not_participating_with_opeid,"Year-aware OPEFLAG interpretation: not participating, with an OPEID."
grant__ipeds_title_iv_status,grant__ipeds_title_iv_status,51,not_participating_without_opeid,not_participating_without_opeid,"Year-aware OPEFLAG interpretation: not participating, without an OPEID."
grant__ipeds_title_iv_status,grant__ipeds_title_iv_status,45,participating,participating,Year-aware OPEFLAG interpretation: participating in Title IV programs.
grant__ipeds_title_iv_status,grant__ipeds_title_iv_status,52,stopped_participating,stopped_participating,Year-aware OPEFLAG interpretation: stopped participating in Title IV.
grant__ipeds_closed_with_data,grant__ipeds_closed_with_data,0,false,False,The condition described by this variable is false; missing is distinct.
grant__ipeds_closed_with_data,grant__ipeds_closed_with_data,1,true,True,The condition described by this variable is true; missing is distinct.
grant__ipeds_identity_uses_historical_relation,grant_ipeds_identity__04493c90e4,0,false,False,The condition described by this variable is false; missing is distinct.
grant__ipeds_identity_uses_historical_relation,grant_ipeds_identity__04493c90e4,1,true,True,The condition described by this variable is true; missing is distinct.
grant__ipeds_identity_strict_contemporaneous,grant_ipeds_identity__d0463e9383,0,false,False,The condition described by this variable is false; missing is distinct.
grant__ipeds_identity_strict_contemporaneous,grant_ipeds_identity__d0463e9383,1,true,True,The condition described by this variable is true; missing is distinct.
grant__ipeds_has_other_parent_unitid,grant_ipeds_has_other_938319426e,0,false,False,The condition described by this variable is false; missing is distinct.
grant__ipeds_has_other_parent_unitid,grant_ipeds_has_other_938319426e,1,true,True,The condition described by this variable is true; missing is distinct.
grant__ipeds_component_scope_review_required,grant_ipeds_component_49c6ae00b5,0,false,False,The condition described by this variable is false; missing is distinct.
grant__ipeds_component_scope_review_required,grant_ipeds_component_49c6ae00b5,1,true,True,The condition described by this variable is true; missing is distinct.
grant__ipeds_finance_parent_reference_missing,grant_ipeds_finance_p_bed618ae25,0,false,False,The condition described by this variable is false; missing is distinct.
grant__ipeds_finance_parent_reference_missing,grant_ipeds_finance_p_bed618ae25,1,true,True,The condition described by this variable is true; missing is distinct.
grant__ipeds_student_aid_parent_reference_missing,grant_ipeds_student_a_c49b19bdc6,0,false,False,The condition described by this variable is false; missing is distinct.
grant__ipeds_student_aid_parent_reference_missing,grant_ipeds_student_a_c49b19bdc6,1,true,True,The condition described by this variable is true; missing is distinct.
grant__ipeds_fall_enrollment_parent_reference_missing,grant_ipeds_fall_enro_f903d0e4a2,0,false,False,The condition described by this variable is false; missing is distinct.
grant__ipeds_fall_enrollment_parent_reference_missing,grant_ipeds_fall_enro_f903d0e4a2,1,true,True,The condition described by this variable is true; missing is distinct.
grant__ipeds_completions_parent_reference_missing,grant_ipeds_completio_5718b64c1c,0,false,False,The condition described by this variable is false; missing is distinct.
grant__ipeds_completions_parent_reference_missing,grant_ipeds_completio_5718b64c1c,1,true,True,The condition described by this variable is true; missing is distinct.
grant__ipeds_twelve_month_enrollment_parent_reference_missing,grant_ipeds_twelve_mo_99c928421b,0,false,False,The condition described by this variable is false; missing is distinct.
grant__ipeds_twelve_month_enrollment_parent_reference_missing,grant_ipeds_twelve_mo_99c928421b,1,true,True,The condition described by this variable is true; missing is distinct.
grant__cw_preliminary,grant__cw_preliminary,0,false,False,The condition described by this variable is false; missing is distinct.
grant__cw_preliminary,grant__cw_preliminary,1,true,True,The condition described by this variable is true; missing is distinct.
grant__cw_has_additional_match,grant__cw_has_additional_match,0,false,False,The condition described by this variable is false; missing is distinct.
grant__cw_has_additional_match,grant__cw_has_additional_match,1,true,True,The condition described by this variable is true; missing is distinct.
grant__cw_multiple_site_unitids,grant__cw_multiple_site_unitids,0,false,False,The condition described by this variable is false; missing is distinct.
grant__cw_multiple_site_unitids,grant__cw_multiple_site_unitids,1,true,True,The condition described by this variable is true; missing is distinct.
grant__cw_relation_parse_complete,grant_cw_relation_par_b14bf0b533,0,false,False,The condition described by this variable is false; missing is distinct.
grant__cw_relation_parse_complete,grant_cw_relation_par_b14bf0b533,1,true,True,The condition described by this variable is true; missing is distinct.
grant__cw_site_parse_complete,grant__cw_site_parse_complete,0,false,False,The condition described by this variable is false; missing is distinct.
grant__cw_site_parse_complete,grant__cw_site_parse_complete,1,true,True,The condition described by this variable is true; missing is distinct.
grant__cw_site_parent_unitids_differ,grant_cw_site_parent__282f7127bd,0,false,False,The condition described by this variable is false; missing is distinct.
grant__cw_site_parent_unitids_differ,grant_cw_site_parent__282f7127bd,1,true,True,The condition described by this variable is true; missing is distinct.
grant__cw_official_no_match,grant__cw_official_no_match,0,false,False,The condition described by this variable is false; missing is distinct.
grant__cw_official_no_match,grant__cw_official_no_match,1,true,True,The condition described by this variable is true; missing is distinct.
grant__cw_has_change_notes,grant__cw_has_change_notes,0,false,False,The condition described by this variable is false; missing is distinct.
grant__cw_has_change_notes,grant__cw_has_change_notes,1,true,True,The condition described by this variable is true; missing is distinct.
grant__cw_has_prior_id_notes,grant__cw_has_prior_id_notes,0,false,False,The condition described by this variable is false; missing is distinct.
grant__cw_has_prior_id_notes,grant__cw_has_prior_id_notes,1,true,True,The condition described by this variable is true; missing is distinct.
grant__cw_duplicate_opeid_rows,grant__cw_duplicate_opeid_rows,0,false,False,The condition described by this variable is false; missing is distinct.
grant__cw_duplicate_opeid_rows,grant__cw_duplicate_opeid_rows,1,true,True,The condition described by this variable is true; missing is distinct.
grant__unitid_record_status,grant__unitid_record_status,8,absent_source_record,absent_source_record,No usable source-family record for this panel row; not evidence of zero aid.
grant__unitid_record_status,grant__unitid_record_status,21,ambiguous_family_multiple_records,ambiguous_family_multiple_records,"Multiple source-family records could supply this UNITID-year; values are blocked, not summed."
grant__unitid_record_status,grant__unitid_record_status,20,included_unique_family_record,included_unique_family_record,Exactly one eligible source-family record supplies this UNITID-year; no aid allocation.
campus__source_record_present,campus__source_record_present,0,false,False,The condition described by this variable is false; missing is distinct.
campus__source_record_present,campus__source_record_present,1,true,True,The condition described by this variable is true; missing is distinct.
campus__fws_recipients__status,campus__fws_recipients__status,8,absent_source_record,absent_source_record,No usable source-family record for this panel row; not evidence of zero aid.
campus__fws_recipients__status,campus__fws_recipients__status,21,ambiguous_family_multiple_records,ambiguous_family_multiple_records,"Multiple source-family records could supply this UNITID-year; values are blocked, not summed."
campus__fws_recipients__status,campus__fws_recipients__status,1,observed,observed,An explicitly reported numeric nonzero value.
campus__fws_recipients__status,campus__fws_recipients__status,2,observed_zero,observed_zero,An explicitly reported numeric zero; not an imputed zero.
campus__fws_recipients__status,campus__fws_recipients__status,9,report_not_available,report_not_available,No selected report for this source family and award year is available in the build.
campus__fws_recipients__status,campus__fws_recipients__status,3,source_blank,source_blank,The source cell is blank or a recognized missing-text token.
campus__fws_recipients__status,campus__fws_recipients__status,5,suppressed_lt10,suppressed_lt10,"Source reports <10; count bounds are 0 and 9, while the point value remains missing."
campus__fws_federal_award__status,campus_fws_federal_aw_f2d7aeaf16,8,absent_source_record,absent_source_record,No usable source-family record for this panel row; not evidence of zero aid.
campus__fws_federal_award__status,campus_fws_federal_aw_f2d7aeaf16,21,ambiguous_family_multiple_records,ambiguous_family_multiple_records,"Multiple source-family records could supply this UNITID-year; values are blocked, not summed."
campus__fws_federal_award__status,campus_fws_federal_aw_f2d7aeaf16,1,observed,observed,An explicitly reported numeric nonzero value.
campus__fws_federal_award__status,campus_fws_federal_aw_f2d7aeaf16,2,observed_zero,observed_zero,An explicitly reported numeric zero; not an imputed zero.
campus__fws_federal_award__status,campus_fws_federal_aw_f2d7aeaf16,9,report_not_available,report_not_available,No selected report for this source family and award year is available in the build.
campus__fws_federal_award__status,campus_fws_federal_aw_f2d7aeaf16,3,source_blank,source_blank,The source cell is blank or a recognized missing-text token.
campus__fws_federal_award__status,campus_fws_federal_aw_f2d7aeaf16,4,source_symbol,source_symbol,"The source cell contains a dash, dot, NA, or other recognized nonnumeric symbol; not zero."
campus__fws_disbursements__status,campus_fws_disb_statu_98da5f5e9a,8,absent_source_record,absent_source_record,No usable source-family record for this panel row; not evidence of zero aid.
campus__fws_disbursements__status,campus_fws_disb_statu_98da5f5e9a,21,ambiguous_family_multiple_records,ambiguous_family_multiple_records,"Multiple source-family records could supply this UNITID-year; values are blocked, not summed."
campus__fws_disbursements__status,campus_fws_disb_statu_98da5f5e9a,1,observed,observed,An explicitly reported numeric nonzero value.
campus__fws_disbursements__status,campus_fws_disb_statu_98da5f5e9a,2,observed_zero,observed_zero,An explicitly reported numeric zero; not an imputed zero.
campus__fws_disbursements__status,campus_fws_disb_statu_98da5f5e9a,9,report_not_available,report_not_available,No selected report for this source family and award year is available in the build.
campus__fws_disbursements__status,campus_fws_disb_statu_98da5f5e9a,3,source_blank,source_blank,The source cell is blank or a recognized missing-text token.
campus__fws_disbursements__status,campus_fws_disb_statu_98da5f5e9a,4,source_symbol,source_symbol,"The source cell contains a dash, dot, NA, or other recognized nonnumeric symbol; not zero."
campus__fws_disbursements__status,campus_fws_disb_statu_98da5f5e9a,6,suppressed,suppressed,Source explicitly suppresses or redacts the value; no numeric value is imputed.
campus__perkins_recipients__status,campus_perkins_recips_8248831f37,8,absent_source_record,absent_source_record,No usable source-family record for this panel row; not evidence of zero aid.
campus__perkins_recipients__status,campus_perkins_recips_8248831f37,21,ambiguous_family_multiple_records,ambiguous_family_multiple_records,"Multiple source-family records could supply this UNITID-year; values are blocked, not summed."
campus__perkins_recipients__status,campus_perkins_recips_8248831f37,1,observed,observed,An explicitly reported numeric nonzero value.
campus__perkins_recipients__status,campus_perkins_recips_8248831f37,2,observed_zero,observed_zero,An explicitly reported numeric zero; not an imputed zero.
campus__perkins_recipients__status,campus_perkins_recips_8248831f37,9,report_not_available,report_not_available,No selected report for this source family and award year is available in the build.
campus__perkins_recipients__status,campus_perkins_recips_8248831f37,3,source_blank,source_blank,The source cell is blank or a recognized missing-text token.
campus__perkins_recipients__status,campus_perkins_recips_8248831f37,7,unavailable_in_schema,unavailable_in_schema,The selected source report does not supply this variable in this year.
campus__perkins_federal_award__status,campus_perkins_federa_1cc79eba00,8,absent_source_record,absent_source_record,No usable source-family record for this panel row; not evidence of zero aid.
campus__perkins_federal_award__status,campus_perkins_federa_1cc79eba00,21,ambiguous_family_multiple_records,ambiguous_family_multiple_records,"Multiple source-family records could supply this UNITID-year; values are blocked, not summed."
campus__perkins_federal_award__status,campus_perkins_federa_1cc79eba00,2,observed_zero,observed_zero,An explicitly reported numeric zero; not an imputed zero.
campus__perkins_federal_award__status,campus_perkins_federa_1cc79eba00,9,report_not_available,report_not_available,No selected report for this source family and award year is available in the build.
campus__perkins_federal_award__status,campus_perkins_federa_1cc79eba00,4,source_symbol,source_symbol,"The source cell contains a dash, dot, NA, or other recognized nonnumeric symbol; not zero."
campus__perkins_federal_award__status,campus_perkins_federa_1cc79eba00,7,unavailable_in_schema,unavailable_in_schema,The selected source report does not supply this variable in this year.
campus__perkins_disbursements_amt__status,campus_perkins_disb_a_c48914939b,8,absent_source_record,absent_source_record,No usable source-family record for this panel row; not evidence of zero aid.
campus__perkins_disbursements_amt__status,campus_perkins_disb_a_c48914939b,21,ambiguous_family_multiple_records,ambiguous_family_multiple_records,"Multiple source-family records could supply this UNITID-year; values are blocked, not summed."
campus__perkins_disbursements_amt__status,campus_perkins_disb_a_c48914939b,1,observed,observed,An explicitly reported numeric nonzero value.
campus__perkins_disbursements_amt__status,campus_perkins_disb_a_c48914939b,2,observed_zero,observed_zero,An explicitly reported numeric zero; not an imputed zero.
campus__perkins_disbursements_amt__status,campus_perkins_disb_a_c48914939b,9,report_not_available,report_not_available,No selected report for this source family and award year is available in the build.
campus__perkins_disbursements_amt__status,campus_perkins_disb_a_c48914939b,3,source_blank,source_blank,The source cell is blank or a recognized missing-text token.
campus__perkins_disbursements_amt__status,campus_perkins_disb_a_c48914939b,4,source_symbol,source_symbol,"The source cell contains a dash, dot, NA, or other recognized nonnumeric symbol; not zero."
campus__perkins_disbursements_amt__status,campus_perkins_disb_a_c48914939b,7,unavailable_in_schema,unavailable_in_schema,The selected source report does not supply this variable in this year.
campus__fseog_recipients__status,campus__fseog_recipients__status,8,absent_source_record,absent_source_record,No usable source-family record for this panel row; not evidence of zero aid.
campus__fseog_recipients__status,campus__fseog_recipients__status,21,ambiguous_family_multiple_records,ambiguous_family_multiple_records,"Multiple source-family records could supply this UNITID-year; values are blocked, not summed."
campus__fseog_recipients__status,campus__fseog_recipients__status,1,observed,observed,An explicitly reported numeric nonzero value.
campus__fseog_recipients__status,campus__fseog_recipients__status,2,observed_zero,observed_zero,An explicitly reported numeric zero; not an imputed zero.
campus__fseog_recipients__status,campus__fseog_recipients__status,9,report_not_available,report_not_available,No selected report for this source family and award year is available in the build.
campus__fseog_recipients__status,campus__fseog_recipients__status,3,source_blank,source_blank,The source cell is blank or a recognized missing-text token.
campus__fseog_recipients__status,campus__fseog_recipients__status,5,suppressed_lt10,suppressed_lt10,"Source reports <10; count bounds are 0 and 9, while the point value remains missing."
campus__fseog_federal_award__status,campus_fseog_federal__274963caa4,8,absent_source_record,absent_source_record,No usable source-family record for this panel row; not evidence of zero aid.
campus__fseog_federal_award__status,campus_fseog_federal__274963caa4,21,ambiguous_family_multiple_records,ambiguous_family_multiple_records,"Multiple source-family records could supply this UNITID-year; values are blocked, not summed."
campus__fseog_federal_award__status,campus_fseog_federal__274963caa4,1,observed,observed,An explicitly reported numeric nonzero value.
campus__fseog_federal_award__status,campus_fseog_federal__274963caa4,2,observed_zero,observed_zero,An explicitly reported numeric zero; not an imputed zero.
campus__fseog_federal_award__status,campus_fseog_federal__274963caa4,9,report_not_available,report_not_available,No selected report for this source family and award year is available in the build.
campus__fseog_federal_award__status,campus_fseog_federal__274963caa4,3,source_blank,source_blank,The source cell is blank or a recognized missing-text token.
