column,table,meaning,coding_research_use
ipeds_opeflag,bridge,IPEDS Title IV participation or eligibility classification.,"Raw annual Title IV code of resolved UNITID. Interpret using ipeds_title_iv_status and the annual dictionary; code4 changes across years, and8 denotes new spring participation from2004. Identity resolution does not automatically establish active program participation."
ipeds_sector,bridge,"IPEDS institutional sector, combining control and level.",Raw resolved-unit code:0 administrative;1/2/3 public/nonprofit/for-profit four-year;4/5/6 corresponding two-year sectors;7/8/9 corresponding less-than-two-year sectors;99 unknown/inactive. Administrative UNITIDs can be retained as identities but ipeds_annual_identity_eligible is false.
ipeds_cyactive,bridge,IPEDS current-year activity classification.,"Raw resolved-unit code:1 active, including some current-year closures with reportable data;2 potential additions/restores;3 inactive. Annual identity may be retained regardless of activity; consult ACT, closure and intended-outcome eligibility."
ipeds_act,bridge,Detailed IPEDS directory activity status.,"Raw resolved-unit annual letters including A active, N new, R restored, M current-year closure with reportable data, C combined, D deleted and G perfect child in recent files. Other codes vary by year. Annual identity may remain available even when strict eligibility fails; consult the annual dictionary."
ipeds_newid,bridge,UNITID under which data for a merged institution are reported.,"Raw positive target UNITID is a merger review flag, not an automatic successor assignment. -2 generally means not applicable; missing values or other sentinels retain annual-source meaning. Resolved annual UNITID metadata; null when no identity resolves. For original exact candidates inspect the candidates table."
ipeds_deathyr,bridge,Year the institution was deleted from the IPEDS directory.,Raw year or source sentinel such as -2. A positive value flags longitudinal review; it is not necessarily the physical closing date. Resolved annual UNITID metadata; null when no identity resolves. For original exact candidates inspect the candidates table.
ipeds_closedat,bridge,Institution closing date reported in the annual directory.,Raw source date string (historically MMDDYYYY) or sentinel. Not recoded into a standard date. A substantive date triggers closure review. Resolved annual UNITID metadata; null when no identity resolves. For original exact candidates inspect the candidates table.
ipeds_postsec,bridge,Indicator that the institution is primarily postsecondary.,"Raw annual code; recent coding uses 1 primarily postsecondary and 2 not primarily postsecondary. This is a scope descriptor, not an OPEID crosswalk rule. Resolved annual UNITID metadata; null when no identity resolves. For original exact candidates inspect the candidates table."
ipeds_pseflag,bridge,IPEDS postsecondary institution status.,"Raw annual code; recent coding uses 1 active postsecondary, 2 not primarily postsecondary or not open to the public, 3 inactive. Interpret using the annual dictionary. Resolved annual UNITID metadata; null when no identity resolves. For original exact candidates inspect the candidates table."
ipeds_pset4flg,bridge,Joint IPEDS postsecondary and Title IV universe indicator.,"Raw annual code; recent values include 1 Title IV postsecondary, 2 non-Title-IV postsecondary, 3 Title IV but not primarily postsecondary, 6 non-Title-IV and not open to the public, 9 inactive. Retained for study-specific universe decisions. Resolved annual UNITID metadata; null when no identity resolves. For original exact candidates inspect the candidates table."
ipeds_rptmth,bridge,Reporting method for charges and student outcome/aid cohorts.,"Raw annual categorical code. Recent 1 denotes academic-year charges with fall cohorts; 2 program charges/full-year cohorts; 3 academic-year charges/full-year cohorts; -1 not reported, -2 not applicable. Do not assume calendar equivalence across institutions. Refreshed from the resolved annual UNITID; null when unresolved. System affiliation does not determine aid scope."
ipeds_f1systyp,bridge,Membership in a multi-institution or multicampus organization.,"Raw annual code; recent 1 yes, 2 no, -1 not reported, -2 not applicable. Membership alone does not establish shared FSA or IPEDS reporting scope. Refreshed from the resolved annual UNITID; null when unresolved. System affiliation does not determine aid scope."
ipeds_f1sysnam,bridge,Name of the multi-institution or multicampus organization.,Raw annual name or sentinel. It is not an allocation key or an institution identifier. Refreshed from the resolved annual UNITID; null when unresolved. System affiliation does not determine aid scope.
ipeds_f1syscod,bridge,IPEDS identifier for a multi-institution or multicampus organization.,Raw annual organization code or sentinel; distinct from UNITID and OPEID. Do not use it to distribute or automatically aggregate FSA aid. Refreshed from the resolved annual UNITID; null when unresolved. System affiliation does not determine aid scope.
prch_ic,bridge,Raw IPEDS parent/child reporting indicator for Institutional Characteristics.,"Annual-source categorical code, not a common hierarchy across all components. -2 generally means not applicable; missing/unavailable is retained. Positive codes are conservatively flagged for strict exclusion; meanings and partial-reporting categories vary by year. Use the corresponding annual source dictionary before a component-specific analysis. In bridge these raw fields describe the resolved UNITID; in candidates they describe that individual candidate."
idx_ic,bridge,Raw UNITID of the parent reporting Institutional Characteristics for this IPEDS record.,Positive values identify a reporting parent in this component; -2 generally means not applicable. Missing or nonnumeric source tokens are not zero or evidence of independent reporting. Never use this field to allocate FSA aid or as a universal parent crosswalk. In bridge these raw fields describe the resolved UNITID; in candidates they describe that individual candidate.
ipeds_source_path,bridge,Local path of the annual HD/directory source for this candidate record.,"Provenance for directory fields, not for every appended FLAGS value. Consult ipeds_source_manifest.csv for separate HD and FLAGS files and their vintages. Describes the resolved annual UNITID source; empty if no identity resolves, including when base-HD candidates exist."
ipeds_source_sha256,bridge,SHA-256 of the annual HD/directory source file.,"64-character hash of the source ZIP or CSV, not the extracted CSV member alone. Separate FLAGS hashes are recorded in the source manifest. Describes the resolved annual UNITID source; empty if no identity resolves, including when base-HD candidates exist."
ipeds_source_member,bridge,Selected annual directory CSV member or standalone CSV filename.,"For ZIP inputs this identifies the member actually parsed. Explicit revised _rv/_r members take precedence; the name alone does not certify a final release. Describes the resolved annual UNITID source; empty if no identity resolves, including when base-HD candidates exist."
prch_c,bridge,Raw IPEDS parent/child reporting indicator for Completions.,"Annual-source categorical code, not a common hierarchy across all components. -2 generally means not applicable; missing/unavailable is retained. Positive codes are conservatively flagged for strict exclusion; meanings and partial-reporting categories vary by year. Use the corresponding annual source dictionary before a component-specific analysis. In bridge these raw fields describe the resolved UNITID; in candidates they describe that individual candidate."
idx_c,bridge,Raw UNITID of the parent reporting Completions for this IPEDS record.,Positive values identify a reporting parent in this component; -2 generally means not applicable. Missing or nonnumeric source tokens are not zero or evidence of independent reporting. Never use this field to allocate FSA aid or as a universal parent crosswalk. In bridge these raw fields describe the resolved UNITID; in candidates they describe that individual candidate.
prch_ef,bridge,Raw IPEDS parent/child reporting indicator for Fall Enrollment.,"Annual-source categorical code, not a common hierarchy across all components. -2 generally means not applicable; missing/unavailable is retained. Positive codes are conservatively flagged for strict exclusion; meanings and partial-reporting categories vary by year. Use the corresponding annual source dictionary before a component-specific analysis. In bridge these raw fields describe the resolved UNITID; in candidates they describe that individual candidate."
idx_ef,bridge,Raw UNITID of the parent reporting Fall Enrollment for this IPEDS record.,Positive values identify a reporting parent in this component; -2 generally means not applicable. Missing or nonnumeric source tokens are not zero or evidence of independent reporting. Never use this field to allocate FSA aid or as a universal parent crosswalk. In bridge these raw fields describe the resolved UNITID; in candidates they describe that individual candidate.
prch_f,bridge,Raw IPEDS parent/child reporting indicator for Finance.,"Annual-source categorical code, not a common hierarchy across all components. -2 generally means not applicable; missing/unavailable is retained. Positive codes are conservatively flagged for strict exclusion; meanings and partial-reporting categories vary by year. Use the corresponding annual source dictionary before a component-specific analysis. In bridge these raw fields describe the resolved UNITID; in candidates they describe that individual candidate."
idx_f,bridge,Raw UNITID of the parent reporting Finance for this IPEDS record.,Positive values identify a reporting parent in this component; -2 generally means not applicable. Missing or nonnumeric source tokens are not zero or evidence of independent reporting. Never use this field to allocate FSA aid or as a universal parent crosswalk. In bridge these raw fields describe the resolved UNITID; in candidates they describe that individual candidate.
prch_sfa,bridge,Raw IPEDS parent/child reporting indicator for Student Financial Aid.,"Annual-source categorical code, not a common hierarchy across all components. -2 generally means not applicable; missing/unavailable is retained. Positive codes are conservatively flagged for strict exclusion; meanings and partial-reporting categories vary by year. Use the corresponding annual source dictionary before a component-specific analysis. In bridge these raw fields describe the resolved UNITID; in candidates they describe that individual candidate."
idx_sfa,bridge,Raw UNITID of the parent reporting Student Financial Aid for this IPEDS record.,Positive values identify a reporting parent in this component; -2 generally means not applicable. Missing or nonnumeric source tokens are not zero or evidence of independent reporting. Never use this field to allocate FSA aid or as a universal parent crosswalk. In bridge these raw fields describe the resolved UNITID; in candidates they describe that individual candidate.
prch_gr,bridge,Raw IPEDS parent/child reporting indicator for Graduation Rates.,"Annual-source categorical code, not a common hierarchy across all components. -2 generally means not applicable; missing/unavailable is retained. Positive codes are conservatively flagged for strict exclusion; meanings and partial-reporting categories vary by year. Use the corresponding annual source dictionary before a component-specific analysis. In bridge these raw fields describe the resolved UNITID; in candidates they describe that individual candidate."
idx_gr,bridge,Raw UNITID of the parent reporting Graduation Rates for this IPEDS record.,Positive values identify a reporting parent in this component; -2 generally means not applicable. Missing or nonnumeric source tokens are not zero or evidence of independent reporting. Never use this field to allocate FSA aid or as a universal parent crosswalk. In bridge these raw fields describe the resolved UNITID; in candidates they describe that individual candidate.
prch_sa,bridge,Raw IPEDS parent/child reporting indicator for historical Salaries component.,"Annual-source categorical code, not a common hierarchy across all components. -2 generally means not applicable; missing/unavailable is retained. Positive codes are conservatively flagged for strict exclusion; meanings and partial-reporting categories vary by year. Use the corresponding annual source dictionary before a component-specific analysis. In bridge these raw fields describe the resolved UNITID; in candidates they describe that individual candidate."
idx_sa,bridge,Raw UNITID of the parent reporting historical Salaries component for this IPEDS record.,Positive values identify a reporting parent in this component; -2 generally means not applicable. Missing or nonnumeric source tokens are not zero or evidence of independent reporting. Never use this field to allocate FSA aid or as a universal parent crosswalk. In bridge these raw fields describe the resolved UNITID; in candidates they describe that individual candidate.
prch_s,bridge,Raw IPEDS parent/child reporting indicator for historical Fall Staff component.,"Annual-source categorical code, not a common hierarchy across all components. -2 generally means not applicable; missing/unavailable is retained. Positive codes are conservatively flagged for strict exclusion; meanings and partial-reporting categories vary by year. Use the corresponding annual source dictionary before a component-specific analysis. In bridge these raw fields describe the resolved UNITID; in candidates they describe that individual candidate."
idx_s,bridge,Raw UNITID of the parent reporting historical Fall Staff component for this IPEDS record.,Positive values identify a reporting parent in this component; -2 generally means not applicable. Missing or nonnumeric source tokens are not zero or evidence of independent reporting. Never use this field to allocate FSA aid or as a universal parent crosswalk. In bridge these raw fields describe the resolved UNITID; in candidates they describe that individual candidate.
prch_eap,bridge,Raw IPEDS parent/child reporting indicator for historical Employees by Assigned Position.,"Annual-source categorical code, not a common hierarchy across all components. -2 generally means not applicable; missing/unavailable is retained. Positive codes are conservatively flagged for strict exclusion; meanings and partial-reporting categories vary by year. Use the corresponding annual source dictionary before a component-specific analysis. In bridge these raw fields describe the resolved UNITID; in candidates they describe that individual candidate."
idx_eap,bridge,Raw UNITID of the parent reporting historical Employees by Assigned Position for this IPEDS record.,Positive values identify a reporting parent in this component; -2 generally means not applicable. Missing or nonnumeric source tokens are not zero or evidence of independent reporting. Never use this field to allocate FSA aid or as a universal parent crosswalk. In bridge these raw fields describe the resolved UNITID; in candidates they describe that individual candidate.
prch_hr,bridge,Raw IPEDS parent/child reporting indicator for Human Resources.,"Annual-source categorical code, not a common hierarchy across all components. -2 generally means not applicable; missing/unavailable is retained. Positive codes are conservatively flagged for strict exclusion; meanings and partial-reporting categories vary by year. Use the corresponding annual source dictionary before a component-specific analysis. In bridge these raw fields describe the resolved UNITID; in candidates they describe that individual candidate."
idx_hr,bridge,Raw UNITID of the parent reporting Human Resources for this IPEDS record.,Positive values identify a reporting parent in this component; -2 generally means not applicable. Missing or nonnumeric source tokens are not zero or evidence of independent reporting. Never use this field to allocate FSA aid or as a universal parent crosswalk. In bridge these raw fields describe the resolved UNITID; in candidates they describe that individual candidate.
prch_e12,bridge,Raw IPEDS parent/child reporting indicator for 12-Month Enrollment.,"Annual-source categorical code, not a common hierarchy across all components. -2 generally means not applicable; missing/unavailable is retained. Positive codes are conservatively flagged for strict exclusion; meanings and partial-reporting categories vary by year. Use the corresponding annual source dictionary before a component-specific analysis. In bridge these raw fields describe the resolved UNITID; in candidates they describe that individual candidate."
idx_e12,bridge,Raw UNITID of the parent reporting 12-Month Enrollment for this IPEDS record.,Positive values identify a reporting parent in this component; -2 generally means not applicable. Missing or nonnumeric source tokens are not zero or evidence of independent reporting. Never use this field to allocate FSA aid or as a universal parent crosswalk. In bridge these raw fields describe the resolved UNITID; in candidates they describe that individual candidate.
prch_gr2,bridge,Raw IPEDS parent/child reporting indicator for Graduation Rates at 200 percent of normal time.,"Annual-source categorical code, not a common hierarchy across all components. -2 generally means not applicable; missing/unavailable is retained. Positive codes are conservatively flagged for strict exclusion; meanings and partial-reporting categories vary by year. Use the corresponding annual source dictionary before a component-specific analysis. In bridge these raw fields describe the resolved UNITID; in candidates they describe that individual candidate."
idx_gr2,bridge,Raw UNITID of the parent reporting Graduation Rates at 200 percent of normal time for this IPEDS record.,Positive values identify a reporting parent in this component; -2 generally means not applicable. Missing or nonnumeric source tokens are not zero or evidence of independent reporting. Never use this field to allocate FSA aid or as a universal parent crosswalk. In bridge these raw fields describe the resolved UNITID; in candidates they describe that individual candidate.
prch_al,bridge,Raw IPEDS parent/child reporting indicator for Academic Libraries.,"Annual-source categorical code, not a common hierarchy across all components. -2 generally means not applicable; missing/unavailable is retained. Positive codes are conservatively flagged for strict exclusion; meanings and partial-reporting categories vary by year. Use the corresponding annual source dictionary before a component-specific analysis. In bridge these raw fields describe the resolved UNITID; in candidates they describe that individual candidate."
idx_al,bridge,Raw UNITID of the parent reporting Academic Libraries for this IPEDS record.,Positive values identify a reporting parent in this component; -2 generally means not applicable. Missing or nonnumeric source tokens are not zero or evidence of independent reporting. Never use this field to allocate FSA aid or as a universal parent crosswalk. In bridge these raw fields describe the resolved UNITID; in candidates they describe that individual candidate.
prch_om,bridge,Raw IPEDS parent/child reporting indicator for Outcome Measures.,"Annual-source categorical code, not a common hierarchy across all components. -2 generally means not applicable; missing/unavailable is retained. Positive codes are conservatively flagged for strict exclusion; meanings and partial-reporting categories vary by year. Use the corresponding annual source dictionary before a component-specific analysis. In bridge these raw fields describe the resolved UNITID; in candidates they describe that individual candidate."
idx_om,bridge,Raw UNITID of the parent reporting Outcome Measures for this IPEDS record.,Positive values identify a reporting parent in this component; -2 generally means not applicable. Missing or nonnumeric source tokens are not zero or evidence of independent reporting. Never use this field to allocate FSA aid or as a universal parent crosswalk. In bridge these raw fields describe the resolved UNITID; in candidates they describe that individual candidate.
prchtp_f,bridge,Raw type of Finance parent/child reporting arrangement.,Annual categorical code describing the Finance joint-reporting arrangement; distinct from PRCH_F role and IDX_F parent identity. Positive values trigger conservative strict exclusion. Interpret detailed values with that annual FLAGS dictionary; not a rule for allocating FSA aid. In bridge these raw fields describe the resolved UNITID; in candidates they describe that individual candidate.
prch_adm,bridge,Raw IPEDS parent/child reporting indicator for Admissions.,"Annual-source categorical code, not a common hierarchy across all components. -2 generally means not applicable; missing/unavailable is retained. Positive codes are conservatively flagged for strict exclusion; meanings and partial-reporting categories vary by year. Use the corresponding annual source dictionary before a component-specific analysis. In bridge these raw fields describe the resolved UNITID; in candidates they describe that individual candidate."
idx_adm,bridge,Raw UNITID of the parent reporting Admissions for this IPEDS record.,Positive values identify a reporting parent in this component; -2 generally means not applicable. Missing or nonnumeric source tokens are not zero or evidence of independent reporting. Never use this field to allocate FSA aid or as a universal parent crosswalk. In bridge these raw fields describe the resolved UNITID; in candidates they describe that individual candidate.
fsa_opeid8,candidates,Original FSA full OPEID whose possible directory links are listed.,"Together with award_year identifies the FSA observation, repeated over candidate records. Candidates contain no FSA aid measures; never directly one-to-many join this table to aid amounts."
award_year,candidates,Original FSA award-year key.,"Preserved from the source panel, normally YYYY-YYYY. The first year is the award-year start and the next year its end. Distinct textual representations of the same OPEID/start-year are rejected."
candidate_relation,candidates,Relationship of this directory record to the FSA OPEID.,exact_opeid means all eight digits match; scope_group_only_no_assignment means only the diagnostic group matches. The latter is review evidence only and never assigns a UNITID.
reference_anchor,candidates,Whether the candidate comes from the start or end reference directory.,"start or end, relative to FSA award_year. Both sets are retained regardless of the bridge assignment anchor."
ipeds_year,candidates,Reference year of the IPEDS annual directory.,"In bridge, the chosen start/end anchor year; in candidates, the year of that candidate directory record. This is not automatically the reference year of every IPEDS outcome or financial measure."
unitid,candidates,IPEDS UNITID of this candidate directory record.,"Positive integer; candidate identity only. Can be ambiguous, administrative, inactive, or merely group-related. It is not an assigned FSA institution tag."
opeid8,candidates,Normalized full eight-digit OPEID on the candidate IPEDS directory record.,String with leading zeros. Compare with fsa_opeid8 for exact identity; do not confuse a related branch OPEID with the original FSA reporting key.
opeid_raw,candidates,OPEID token as read from the IPEDS directory CSV.,Retained before full-ID zero padding; may lack leading zeros. Rows with invalid/missing OPEIDs are instead retained in ipeds_invalid_opeid_records.csv.
instnm,candidates,IPEDS institution name in the selected annual directory.,Raw annual text; naming and reporting boundaries can change. Do not use as an automatic identity key.
stabbr,candidates,IPEDS state or jurisdiction abbreviation.,Raw directory code; includes territories. May differ from the FSA reporting address; no geography filtering is applied by linkage.
city,candidates,IPEDS directory city.,Raw text; address changes do not themselves establish institutional entry or exit.
zip,candidates,IPEDS directory ZIP or postal code.,Raw text including leading zeros and possible extended ZIP; do not convert to a quantity.
opeflag,candidates,IPEDS Title IV participation or eligibility classification.,"Raw annual candidate Title IV code.1 participating;2 branch;3 limited/deferment;4 has year-dependent eligibility/new-participant meaning;5 not participating with OPEID;6 not participating without OPEID;7 stopped participation;8 new spring participation from2004. Use the annual dictionary. Strict participation rules are year-aware, not uniformly code1."
sector,candidates,"IPEDS institutional sector, combining control and level.",Raw candidate sector:0 administrative;1/2/3 public/nonprofit/for-profit four-year;4/5/6 corresponding two-year sectors;7/8/9 corresponding less-than-two-year sectors;99 unknown/inactive. An administrative UNITID can be retained as annual identity evidence but is not institutionally eligible.
cyactive,candidates,IPEDS current-year activity classification.,"Raw candidate activity code:1 active, including some current-year closures with reportable data;2 potential additions/restores;3 inactive. ACT and closure fields must also be considered. Annual identity retention and study eligibility are separate."
act,candidates,Detailed IPEDS directory activity status.,"Raw annual candidate letters including A active, N new, R restored, M current-year closure with reportable data, C combined, D deleted, G perfect child in recent files. Meanings vary by year. Activity affects conservative and study-specific eligibility, while annual identity can still be retained; consult the dictionary."
newid,candidates,UNITID under which data for a merged institution are reported.,"Raw positive target UNITID is a merger review flag, not an automatic successor assignment. -2 generally means not applicable; missing values or other sentinels retain annual-source meaning."
deathyr,candidates,Year the institution was deleted from the IPEDS directory.,Raw year or source sentinel such as -2. A positive value flags longitudinal review; it is not necessarily the physical closing date.
closedat,candidates,Institution closing date reported in the annual directory.,Raw source date string (historically MMDDYYYY) or sentinel. Not recoded into a standard date. A substantive date triggers closure review.
prch_ic,candidates,Raw IPEDS parent/child reporting indicator for Institutional Characteristics.,"Annual-source categorical code, not a common hierarchy across all components. -2 generally means not applicable; missing/unavailable is retained. Positive codes are conservatively flagged for strict exclusion; meanings and partial-reporting categories vary by year. Use the corresponding annual source dictionary before a component-specific analysis. In bridge these raw fields describe the resolved UNITID; in candidates they describe that individual candidate."
idx_ic,candidates,Raw UNITID of the parent reporting Institutional Characteristics for this IPEDS record.,Positive values identify a reporting parent in this component; -2 generally means not applicable. Missing or nonnumeric source tokens are not zero or evidence of independent reporting. Never use this field to allocate FSA aid or as a universal parent crosswalk. In bridge these raw fields describe the resolved UNITID; in candidates they describe that individual candidate.
ipeds_source_path,candidates,Local path of the annual HD/directory source for this candidate record.,"Provenance for directory fields, not for every appended FLAGS value. Consult ipeds_source_manifest.csv for separate HD and FLAGS files and their vintages."
ipeds_source_sha256,candidates,SHA-256 of the annual HD/directory source file.,"64-character hash of the source ZIP or CSV, not the extracted CSV member alone. Separate FLAGS hashes are recorded in the source manifest."
ipeds_source_member,candidates,Selected annual directory CSV member or standalone CSV filename.,For ZIP inputs this identifies the member actually parsed. Explicit revised _rv/_r members take precedence; the name alone does not certify a final release.
ipeds_flags_available,candidates,Availability and numeric validity of required Finance/SFA parent-child metadata.,"Boolean requiring usable PRCH_F, IDX_F, PRCH_SFA, IDX_SFA codes. Valid integers are -2 or nonnegative; a token such as dot is unavailable. Does not certify completeness of every other IPEDS component."
pseflag,candidates,IPEDS postsecondary institution status.,"Raw annual code; recent coding uses 1 active postsecondary, 2 not primarily postsecondary or not open to the public, 3 inactive. Interpret using the annual dictionary."
pset4flg,candidates,Joint IPEDS postsecondary and Title IV universe indicator.,"Raw annual code; recent values include 1 Title IV postsecondary, 2 non-Title-IV postsecondary, 3 Title IV but not primarily postsecondary, 6 non-Title-IV and not open to the public, 9 inactive. Retained for study-specific universe decisions."
prch_c,candidates,Raw IPEDS parent/child reporting indicator for Completions.,"Annual-source categorical code, not a common hierarchy across all components. -2 generally means not applicable; missing/unavailable is retained. Positive codes are conservatively flagged for strict exclusion; meanings and partial-reporting categories vary by year. Use the corresponding annual source dictionary before a component-specific analysis. In bridge these raw fields describe the resolved UNITID; in candidates they describe that individual candidate."
idx_c,candidates,Raw UNITID of the parent reporting Completions for this IPEDS record.,Positive values identify a reporting parent in this component; -2 generally means not applicable. Missing or nonnumeric source tokens are not zero or evidence of independent reporting. Never use this field to allocate FSA aid or as a universal parent crosswalk. In bridge these raw fields describe the resolved UNITID; in candidates they describe that individual candidate.
prch_ef,candidates,Raw IPEDS parent/child reporting indicator for Fall Enrollment.,"Annual-source categorical code, not a common hierarchy across all components. -2 generally means not applicable; missing/unavailable is retained. Positive codes are conservatively flagged for strict exclusion; meanings and partial-reporting categories vary by year. Use the corresponding annual source dictionary before a component-specific analysis. In bridge these raw fields describe the resolved UNITID; in candidates they describe that individual candidate."
idx_ef,candidates,Raw UNITID of the parent reporting Fall Enrollment for this IPEDS record.,Positive values identify a reporting parent in this component; -2 generally means not applicable. Missing or nonnumeric source tokens are not zero or evidence of independent reporting. Never use this field to allocate FSA aid or as a universal parent crosswalk. In bridge these raw fields describe the resolved UNITID; in candidates they describe that individual candidate.
